date,passengers
2023-08-28,20693
2023-08-29,31931
2023-08-30,21627
2023-08-31,34157
2023-09-01,28173
2023-09-04,39834
2023-09-05,36047
2023-09-06,28230
2023-09-07,33707
2023-09-08,39976
2023-09-11,29494
2023-09-12,41776
2023-09-13,19306
2023-09-14,24776
2023-09-15,40248
2023-09-18,27474
2023-09-19,25526
2023-09-20,39959
2023-09-21,23530
2023-09-22,38797
2023-09-25,21748
2023-09-26,31545
2023-09-27,18663
2023-09-28,19998
2023-09-29,25994
2023-10-02,35879
2023-10-03,21304
2023-10-04,38147
2023-10-05,39616
2023-10-06,36237
2023-10-09,31808
2023-10-10,24585
2023-10-11,35675
2023-10-12,37965
2023-10-13,29649
2023-10-16,41938
2023-10-17,41664
2023-10-18,19636
2023-10-19,38080
2023-10-20,35082
2023-10-23,22737
2023-10-24,32555
2023-10-25,31877
2023-10-26,18854
2023-10-27,23855
2023-10-30,25392
2023-10-31,40912
2023-11-01,31949
2023-11-02,39633
2023-11-03,39556
2023-11-06,36091
2023-11-07,23791
2023-11-08,39919
2023-11-09,22931
2023-11-10,37894
2023-11-13,18202
2023-11-14,29447
2023-11-15,38602
2023-11-16,30688
2023-11-17,22389
2023-11-20,20327
2023-11-21,26004
2023-11-22,37315
2023-11-23,25777
2023-11-24,18197
2023-11-27,41509
2023-11-28,19930
2023-11-29,29774
2023-11-30,33087
2023-12-01,40671
2023-12-04,27339
2023-12-05,38666
2023-12-06,29589
2023-12-07,36895
2023-12-08,33708
2023-12-11,35043
2023-12-12,20811
2023-12-13,41482
2023-12-14,32243
2023-12-15,24546
2023-12-18,19986
2023-12-19,26338
2023-12-20,29411
2023-12-21,20911
2023-12-22,19734
2023-12-25,36227
2023-12-26,26680
2023-12-27,37360
2023-12-28,36343
2023-12-29,23759
2024-01-01,41078
2024-01-02,20385
2024-01-03,29111
2024-01-04,22736
2024-01-05,19802
2024-01-08,26155
2024-01-09,26120
2024-01-10,24616
2024-01-11,32257
2024-01-12,32486
2024-01-15,39918
2024-01-16,38445
2024-01-17,34646
2024-01-18,32075
2024-01-19,40671
2024-01-22,27208
2024-01-23,34371
2024-01-24,29835
2024-01-25,31168
2024-01-26,20049
2024-01-29,23423
2024-01-30,32589
2024-01-31,38932
2024-02-01,37492
2024-02-02,25158
2024-02-05,28248
2024-02-06,25400
2024-02-07,37554
2024-02-08,27874
2024-02-09,33151
2024-02-12,36639
2024-02-13,19154
2024-02-14,22499
2024-02-15,24295
2024-02-16,40581
2024-02-19,30183
2024-02-20,30874
2024-02-21,36032
2024-02-22,23539
2024-02-23,27637
2024-02-26,38583
2024-02-27,33586
2024-02-28,20557
2024-02-29,23592
2024-03-01,34482
2024-03-04,20200
2024-03-05,32172
2024-03-06,20961
2024-03-07,32207
2024-03-08,39357
2024-03-11,38817
2024-03-12,29969
2024-03-13,20869
2024-03-14,35340
2024-03-15,31992
2024-03-18,23699
2024-03-19,41328
2024-03-20,38877
2024-03-21,39295
2024-03-22,21987
2024-03-25,40399
2024-03-26,31446
2024-03-27,19218
2024-03-28,38880
2024-03-29,22735
2024-04-01,29296
2024-04-02,22555
2024-04-03,27146
2024-04-04,26050
2024-04-05,30757
2024-04-08,37830
2024-04-09,35429
2024-04-10,24893
2024-04-11,36077
2024-04-12,32373
2024-04-15,32565
2024-04-16,21436
2024-04-17,26754
2024-04-18,28677
2024-04-19,23895
2024-04-22,37738
2024-04-23,34609
2024-04-24,33636
2024-04-25,39277
2024-04-26,25022
2024-04-29,27151
2024-04-30,23600
2024-05-01,25996
2024-05-02,27007
2024-05-03,30946
2024-05-06,22642
2024-05-07,29312
2024-05-08,25679
2024-05-09,26208
2024-05-10,41723
2024-05-13,36589
2024-05-14,28716
2024-05-15,35453
2024-05-16,21444
2024-05-17,28757
2024-05-20,32434
2024-05-21,19060
2024-05-22,36711
2024-05-23,21420
2024-05-24,18301
2024-05-27,30468
2024-05-28,34990
2024-05-29,37554
2024-05-30,18699
2024-05-31,39472
2024-06-03,18190
2024-06-04,28492
2024-06-05,35364
2024-06-06,20975
2024-06-07,24102
2024-06-10,35568
2024-06-11,37711
2024-06-12,37778
2024-06-13,19816
2024-06-14,40238
2024-06-17,41093
2024-06-18,18569
2024-06-19,23442
2024-06-20,19895
2024-06-21,37117
2024-06-24,21863
2024-06-25,30913
2024-06-26,25455
2024-06-27,22014
2024-06-28,29093
2024-07-01,36070
2024-07-02,21009
2024-07-03,34538
2024-07-04,28729
2024-07-05,19409
2024-07-08,30249
2024-07-09,18784
2024-07-10,26096
2024-07-11,25560
2024-07-12,30533
2024-07-15,25343
2024-07-16,25206
2024-07-17,39980
2024-07-18,23801
2024-07-19,37190
2024-07-22,34921
2024-07-23,23986
2024-07-24,36225
2024-07-25,28647
2024-07-26,26716
2024-07-29,41355
2024-07-30,40009
2024-07-31,37334
2024-08-01,30323
2024-08-02,22780
2024-08-05,20368
2024-08-06,30039
2024-08-07,24655
2024-08-08,26173
2024-08-09,22495
2024-08-12,28893
2024-08-13,40386
2024-08-14,40998
2024-08-15,31403
2024-08-16,31121
2024-08-19,40303
2024-08-20,28966
2024-08-21,18853
2024-08-22,38530
2024-08-23,38153
2024-08-26,34958
2024-08-27,35532
2024-08-28,40677
2024-08-29,40841
2024-08-30,41893
2024-09-02,27907
2024-09-03,22777
2024-09-04,38238
2024-09-05,33338
2024-09-06,20491
2024-09-09,33328
2024-09-10,32599
2024-09-11,37508
2024-09-12,40075
2024-09-13,21051
2024-09-16,33979
2024-09-17,34388
2024-09-18,39606
2024-09-19,39699
2024-09-20,39253
2024-09-23,18876
2024-09-24,41411
2024-09-25,22142
2024-09-26,33202
2024-09-27,24966
2024-09-30,25079
2024-10-01,25987
2024-10-02,24799
2024-10-03,22465
2024-10-04,35019
2024-10-07,31417
2024-10-08,36077
2024-10-09,39136
2024-10-10,26311
2024-10-11,35214
2024-10-14,32098
2024-10-15,23177
2024-10-16,32262
2024-10-17,26308
2024-10-18,23949
2024-10-21,37222
2024-10-22,19150
2024-10-23,41944
2024-10-24,19931
2024-10-25,27204
2024-10-28,36048
2024-10-29,19081
2024-10-30,34896
2024-10-31,31407
2024-11-01,25805
2024-11-04,23237
2024-11-05,34943
2024-11-06,38056
2024-11-07,30775
2024-11-08,41788
2024-11-11,34244
2024-11-12,31184
2024-11-13,21343
2024-11-14,31500
2024-11-15,38454
2024-11-18,27662
2024-11-19,34964
2024-11-20,33125
2024-11-21,41388
2024-11-22,26130
2024-11-25,37531
2024-11-26,38633
2024-11-27,19679
2024-11-28,21506
2024-11-29,31284
2024-12-02,25253
2024-12-03,37128
2024-12-04,27435
2024-12-05,39572
2024-12-06,29310
2024-12-09,31296
2024-12-10,36525
2024-12-11,31245
2024-12-12,29151
2024-12-13,28457
2024-12-16,41001
2024-12-17,20479
2024-12-18,40868
2024-12-19,41805
2024-12-20,22452
2024-12-23,23881
2024-12-24,41049
2024-12-25,32069
2024-12-26,20849
2024-12-27,25390
2024-12-30,41289
2024-12-31,29922
2025-01-01,20489
2025-01-02,27823
2025-01-03,27207
2025-01-06,27540
2025-01-07,34364
2025-01-08,22611
2025-01-09,37223
2025-01-10,23878
2025-01-13,34347
2025-01-14,40687
2025-01-15,18851
2025-01-16,36071
2025-01-17,24833
2025-01-20,29938
2025-01-21,20427
2025-01-22,22000
2025-01-23,23052
2025-01-24,20738
2025-01-27,40116
2025-01-28,23387
2025-01-29,26002
2025-01-30,23536
2025-01-31,31479
2025-02-03,21913
2025-02-04,35450
2025-02-05,38764
2025-02-06,28636
2025-02-07,38491
2025-02-10,23726
2025-02-11,21373
2025-02-12,30161
2025-02-13,20082
2025-02-14,41132
2025-02-17,34281
2025-02-18,33305
2025-02-19,27817
2025-02-20,29261
2025-02-21,18417
2025-02-24,26808
2025-02-25,38358
2025-02-26,21267
2025-02-27,35209
2025-02-28,23745
2025-03-03,29338
2025-03-04,18412
2025-03-05,25543
2025-03-06,25587
2025-03-07,18728
2025-03-10,41548
2025-03-11,29657
2025-03-12,23988
2025-03-13,36888
2025-03-14,20967
2025-03-17,32527
2025-03-18,37170
2025-03-19,34048
2025-03-20,35506
2025-03-21,38463
2025-03-24,35955
2025-03-25,23073
2025-03-26,23104
2025-03-27,20143
2025-03-28,41190
2025-03-31,25357
2025-04-01,30043
2025-04-02,21440
2025-04-03,38150
2025-04-04,23644
2025-04-07,28518
2025-04-08,32552
2025-04-09,20914
2025-04-10,39352
2025-04-11,40301
2025-04-14,31584
2025-04-15,30144
2025-04-16,32397
2025-04-17,26787
2025-04-18,32191
2025-04-21,18728
2025-04-22,35749
2025-04-23,38876
2025-04-24,18698
2025-04-25,25186
2025-04-28,32512
2025-04-29,31923
2025-04-30,34779
2025-05-01,25400
2025-05-02,22171
2025-05-05,22360
2025-05-06,20502
2025-05-07,35101
2025-05-08,37166
2025-05-09,39330
2025-05-12,23486
2025-05-13,26335
2025-05-14,39364
2025-05-15,41650
2025-05-16,22491
2025-05-19,41576
2025-05-20,29130
2025-05-21,39972
2025-05-22,25651
2025-05-23,38020
2025-05-26,19167
2025-05-27,19062
2025-05-28,36540
2025-05-29,39545
2025-05-30,39689
2025-06-02,29174
2025-06-03,40925
2025-06-04,22729
2025-06-05,27348
2025-06-06,41714
2025-06-09,23334
2025-06-10,26924
2025-06-11,22330
2025-06-12,24801
2025-06-13,22846
2025-06-16,24731
2025-06-17,33368
2025-06-18,41625
2025-06-19,35337
2025-06-20,20539
2025-06-23,25056
2025-06-24,29516
2025-06-25,29493
2025-06-26,19542
2025-06-27,39677
2025-06-30,31964
2025-07-01,35575
2025-07-02,24313
2025-07-03,41322
2025-07-04,37065
2025-07-07,35924
2025-07-08,40556
2025-07-09,39925
2025-07-10,31807
2025-07-11,27580
2025-07-14,35749
2025-07-15,26691
2025-07-16,25494
2025-07-17,22312
2025-07-18,19324
2025-07-21,21141
2025-07-22,41803
2025-07-23,37870
2025-07-24,19810
2025-07-25,24588
2025-07-28,37307
2025-07-29,23301
2025-07-30,38570
2025-07-31,40361
2025-08-01,33485
2025-08-04,29714
2025-08-05,38652
2025-08-06,22748
2025-08-07,39233
2025-08-08,27435
2025-08-11,21709
2025-08-12,41003
2025-08-13,31116
2025-08-14,27576
2025-08-15,28150
2025-08-18,37456
2025-08-19,24530
2025-08-20,28188
2025-08-21,32683
2025-08-22,18504
2025-08-25,19214
2025-08-26,19531
2025-08-27,41960
2025-08-28,18823
2025-08-29,35312
2025-09-01,23029
2025-09-02,31428
2025-09-03,34517
2025-09-04,20105
2025-09-05,21627
2025-09-08,30972
2025-09-09,40700
2025-09-10,19852
2025-09-11,22910
2025-09-12,38559
2025-09-15,29003
2025-09-16,39732
2025-09-17,31843
2025-09-18,29704
2025-09-19,33761
2025-09-22,24190
2025-09-23,35640
2025-09-24,37760
2025-09-25,23645
2025-09-26,37870
2025-09-29,37968
2025-09-30,27588
2025-10-01,29829
2025-10-02,26053
2025-10-03,21330
2025-10-06,37087
2025-10-07,26662
2025-10-08,25114
2025-10-09,31323
2025-10-10,19353
2025-10-13,28975
2025-10-14,29023
2025-10-15,39447
2025-10-16,41959
2025-10-17,18667
2025-10-20,38852
2025-10-21,27337
2025-10-22,31659
2025-10-23,41203
2025-10-24,21719
2025-10-27,37129
2025-10-28,25483
2025-10-29,18539
2025-10-30,22964
2025-10-31,22835
2025-11-03,38159
2025-11-04,24042
2025-11-05,32837
2025-11-06,41486
2025-11-07,25312
2025-11-10,23320
2025-11-11,31216
2025-11-12,40516
2025-11-13,20779
2025-11-14,35308
2025-11-17,19581
2025-11-18,37708
2025-11-19,30677
2025-11-20,23713
2025-11-21,41410
2025-11-24,34639
2025-11-25,22804
2025-11-26,36222
2025-11-27,28136
2025-11-28,18009
2025-12-01,37255
2025-12-02,41793
2025-12-03,41802
2025-12-04,23124
2025-12-05,19015
2025-12-08,20193
2025-12-09,26415
2025-12-10,31550
2025-12-11,32512
2025-12-12,41833
2025-12-15,22158
2025-12-16,38309
2025-12-17,24970
2025-12-18,24938
2025-12-19,39168
2025-12-22,31772
2025-12-23,38384
2025-12-24,36017
2025-12-25,28344
2025-12-26,25266
2025-12-29,26702
2025-12-30,18384
2025-12-31,18404
2026-01-01,26175
2026-01-02,33158
2026-01-05,30763
2026-01-06,36384
2026-01-07,27860
2026-01-08,23989
2026-01-09,33106
2026-01-12,35844
2026-01-13,41574
2026-01-14,41524
2026-01-15,21636
2026-01-16,28916
2026-01-19,22809
2026-01-20,38562
2026-01-21,31456
2026-01-22,33444
2026-01-23,41629
2026-01-26,40984
2026-01-27,23997
2026-01-28,20048
2026-01-29,30338
2026-01-30,39164
2026-02-02,35100
2026-02-03,39949
2026-02-04,22544
2026-02-05,22976
2026-02-06,30775
2026-02-09,28015
2026-02-10,21419
2026-02-11,32430
2026-02-12,25239
2026-02-13,32489
2026-02-16,34633
2026-02-17,28357
2026-02-18,35154
2026-02-19,22363
2026-02-20,28176
2026-02-23,35461
2026-02-24,26427
2026-02-25,26580
2026-02-26,22858
2026-02-27,28040
2026-03-02,40928
2026-03-03,39103
2026-03-04,37198
2026-03-05,37758
2026-03-06,33254
2026-03-09,29470
2026-03-10,19252
2026-03-11,24996
2026-03-12,30173
2026-03-13,22673
2026-03-16,38914
2026-03-17,33781
2026-03-18,31051
2026-03-19,24881
2026-03-20,24949
2026-03-23,27521
2026-03-24,40625
2026-03-25,26017
2026-03-26,24941
2026-03-27,41386
2026-03-30,28209
2026-03-31,35715
2026-04-01,38645
2026-04-02,27550
2026-04-03,39499
2026-04-06,22637
2026-04-07,22854
2026-04-08,37561
2026-04-09,28320
2026-04-10,36564
2026-04-13,22892
2026-04-14,25043
2026-04-15,34521
2026-04-16,40711
2026-04-17,37856
2026-04-20,39833
2026-04-21,37216
2026-04-22,37963
2026-04-23,40355
2026-04-24,22164
2026-04-27,25941
2026-04-28,32388
2026-04-29,23569
2026-04-30,22300
2026-05-01,24269
2026-05-04,21818
2026-05-05,30015
2026-05-06,30234
2026-05-07,36290
2026-05-08,24254
2026-05-11,35144
2026-05-12,25350
2026-05-13,33183
2026-05-14,24238
2026-05-15,24090
2026-05-18,29637
2026-05-19,40415
2026-05-20,30647
2026-05-21,27911
2026-05-22,26472
2026-05-25,36271
2026-05-26,21266
2026-05-27,18666
2026-05-28,22188
2026-05-29,35055
2026-06-01,28161
2026-06-02,41161
2026-06-03,29314
2026-06-04,41954
2026-06-05,39508
2026-06-08,39969
2026-06-09,30891
2026-06-10,22777
2026-06-11,21900
2026-06-12,41061
2026-06-15,31716
2026-06-16,24981
2026-06-17,24376
2026-06-18,34907
2026-06-19,36777
2026-06-22,36977
2026-06-23,28160
2026-06-24,32124
2026-06-25,34282
2026-06-26,41624
2026-06-29,41321
2026-06-30,28488
2026-07-01,40574
2026-07-02,23240
2026-07-03,28453
2026-07-06,28478
2026-07-07,40877
2026-07-08,30394
2026-07-09,37262
2026-07-10,38527
2026-07-13,38028
2026-07-14,22432
2026-07-15,31568
2026-07-16,32178
2026-07-17,35660
2026-07-20,40195
2026-07-21,18302
2026-07-22,35022
2026-07-23,18055
2026-07-24,31013
2026-07-27,26717
2026-07-28,26150
2026-07-29,20125
2026-07-30,29479
2026-07-31,33745
2026-08-03,34748
2026-08-04,24809
2026-08-05,22621
2026-08-06,33034
2026-08-07,31623
2026-08-10,23126
2026-08-11,23122
2026-08-12,36030
2026-08-13,35302
2026-08-14,37181
2026-08-17,40890
2026-08-18,23870
2026-08-19,19531
2026-08-20,26172
2026-08-21,37729
2026-08-24,25673
2026-08-25,41333
2026-08-26,24882
2026-08-27,19906
2026-08-28,21086
2026-08-31,31503
2026-09-01,26152
2026-09-02,23750
2026-09-03,30772
2026-09-04,28267
2026-09-07,19062
2026-09-08,36360
2026-09-09,35680
2026-09-10,24229
2026-09-11,34509
2026-09-14,33147
2026-09-15,22632
2026-09-16,24288
2026-09-17,21596
2026-09-18,29475
2026-09-21,24168
2026-09-22,27795
2026-09-23,25561
2026-09-24,26258
2026-09-25,34616
2026-09-28,24371
2026-09-29,38590
2026-09-30,32369
2026-10-01,30910
2026-10-02,25943
2026-10-05,30199
2026-10-06,33728
2026-10-07,41275
2026-10-08,24738
2026-10-09,33913
2026-10-12,20472
2026-10-13,37123
2026-10-14,39785
2026-10-15,33679
2026-10-16,19761
2026-10-19,28167
2026-10-20,28554
2026-10-21,35260
2026-10-22,32277
2026-10-23,21812
2026-10-26,35844
2026-10-27,36117
2026-10-28,19605
2026-10-29,23622
2026-10-30,24767
2026-11-02,29613
2026-11-03,41370
2026-11-04,37901
2026-11-05,28589
2026-11-06,31918
2026-11-09,38119
2026-11-10,31046
2026-11-11,20590
2026-11-12,35447
2026-11-13,22324
2026-11-16,28787
2026-11-17,27111
2026-11-18,23342
2026-11-19,34389
2026-11-20,41873
2026-11-23,26659
2026-11-24,32043
2026-11-25,40350
2026-11-26,26837
2026-11-27,18117
2026-11-30,31917
2026-12-01,36935
2026-12-02,32309
2026-12-03,31234
2026-12-04,23560
2026-12-07,38673
2026-12-08,18846
2026-12-09,28954
2026-12-10,31703
2026-12-11,33385
2026-12-14,31746
2026-12-15,40700
2026-12-16,24469
2026-12-17,27333
2026-12-18,34608
2026-12-21,30819
2026-12-22,22208
2026-12-23,24283
2026-12-24,20048
2026-12-25,24233
2026-12-28,30941
2026-12-29,30607
2026-12-30,27765
2026-12-31,19828
